rank,bookId,title,series,numberOfSeries,author,authorLastFirst,description,language,genres,characters,setting,coverImg,bookFormat,edition,pages,publisher,publishedYear,firstPublishYear,awards,rating,numRatings,ISBN,ISBN13
58,1162022,On the Jellicoe Road,,,Melina Marchetta,"Marchetta, Melina","I'm dreaming of the boy in the tree. I tell him stories. About the Jellicoe School and the Townies and the Cadets from a school in Sydney. I tell him about the war between us for territory. And I tell him about Hannah, who lives in the unfinished house by the river. Hannah, who is too young to be hiding away from the world. Hannah, who found me on the Jellicoe Road six years ago.Taylor is leader of the boarders at the Jellicoe School. She has to keep the upper hand in the territory wars and deal with Jonah Griggs—the enigmatic leader of the cadets, and someone she thought she would never see again.And now Hannah, the person Taylor had come to rely on, has disappeared. Taylor's only clue is a manuscript about five kids who lived in Jellicoe eighteen years ago. She needs to find out more, but this means confronting her own story, making sense of her strange, recurring dream, and finding her mother—who abandoned her on the Jellicoe Road.The moving, joyous and brilliantly compelling new novel from the best-selling, multi-award-winning author of Looking for Alibrandi and Saving Francesca.",English,"Young Adult, Contemporary, Fiction, Mystery, Romance, Realistic Fiction, Australia, Coming Of Age, Teen, Young Adult Contemporary","Taylor Markham, Jonah Griggs, Chaz Santangelo, Raffy, Ben, Hannah, Tate, Fitz, Jude, Webb, Hannah (Narnie)","New South Wales (Australia), Australia",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1212708945l/1162022.jpg,Paperback,1st edition,290,Penguin Australia,2006,2006,"Michael L. Printz Award (2009), ""Queensland Premiers Literary Awards Nominee for Young Adult Book Award (2007)"", W.A. Young Readers Book Award (WAYRA) for Older Readers (2008), Australian Book Industry Award (ABIA) Nominee for Older Children (2007), CYBILS Award Nominee for Young Adult Fiction (2008)",4.13,47200,0670070297,9780670070299
59,3,Harry Potter and the Sorcerer's Stone,Harry Potter ,#1,"J.K. Rowling, Mary GrandPré (Illustrator)","Rowling, J.K.","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",English,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Adventure, Classics, Audiobook, Science Fiction Fantasy","Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Quirinus Quirrell, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Filius Flitwick, Pomona Sprout, Molly Weasley, Poppy Pomfrey, Oliver Wood, Parvati Patil, Dean Thomas, James Potter, Lily Potter, Seamus Finnigan, Garrick Ollivander, Rolanda Hooch, Katie Bell, Albus Dumbledore, Dedalus Diggle, Harry Potter, Hermione Granger, Lavender Brown","London, England, Hogwarts School of Witchcraft and Wizardry (United Kingdom), Hogwarts School of Witchcraft and Wizardry (United Kingdom)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY475_.jpg,Hardcover,Library Edition,309,Scholastic Inc,2003,1997,"""Mythopoeic Fantasy Award for Childrens Literature (2008)"", ""British Book Award for Childrens Book of the Year (1998)"", Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002), American Booksellers Book Of The Year  Award for Children (1999), Audie Award (2000), ""West Australian Young Readers Book Award (WAYRBA) for Younger Readers (2000)"", South Carolina Book Award for Junior Book Award (2001), Grand Canyon Reader Award for Teen Book (2000), Charlotte Award (2000), Nene Award (2000), ""Massachusetts Childrens Book Award (2000)"", Colorado Blue Spruce Young Adult Book Award (2001), Blue Hen Book Award for Chapter Book (2001), ""Nevada Young Readers Award for Young Reader Category (2000)"", Golden Archer Award for Middle/Junior High (2000), Indian Paintbrush Book Award (2000), Hotze de Roosprijs (2002), Nestlé Smarties Book Prize for 9–11 years (1997), Eliot Rosewater Indiana High School Book Award (2001), Kinderboekwinkelprijs (1999), Parenting Book of the Year Award (1998), North East Teenage Book Award (1999), ""Specsavers National Book Award for Childrens Book of the Year (1998)"", Washington State Sasquatch Award (2000), Literaturpreis der Jury der jungen Leser for Kinderbuch (1999), Carnegie Medal Nominee (1997), ""Rebecca Caudill Young Readers Book Award (2001)"", Premi Protagonista Jove for Categoria 12-13 anys (2000)",4.47,7048471,,
60,11300302,Alice in Zombieland,White Rabbit Chronicles ,#1,Gena Showalter,"Showalter, Gena","She won't rest until she's sent every walking corpse back to its grave. Forever.If anyone had told Alice Bell that her entire life would change course between one heartbeat and the next, she would have laughed. From blissful to tragic, innocent to ruined? Please. But that's all it took. One heartbeat. A blink, a breath, a second, and everything she knew and loved was gone.Her father was right. The monsters are real.To avenge her family, Ali must learn to fight the undead. To survive, she must learn to trust the baddest of the bad boys, Cole Holland. But Cole has secrets of his own, and if Ali isn't careful, those secrets might just prove to be more dangerous than the zombies.",English,"Young Adult, Zombies, Fantasy, Paranormal, Romance, Horror, Retellings, Urban Fantasy, Fiction, Supernatural","Alice Bell, Cole Holland, Emma Lily",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333628241l/11300302.jpg,Hardcover,,404,Harlequin Teen,2012,2012,South Carolina Book Award for Young Adult (2015),4.04,39365,0373210582,9780373210589
61,16069030,The Winner's Curse,The Winner's Trilogy ,#1,Marie Rutkoski,"Rutkoski, Marie","Winning what you want may cost you everything you love... As a general's daughter in a vast empire that revels in war and enslaves those it conquers, seventeen-year-old Kestrel has two choices: she can join the military or get married. But Kestrel has other intentions. One day, she is startled to find a kindred spirit in a young slave up for auction. Arin's eyes seem to defy everything and everyone. Following her instinct, Kestrel buys him—with unexpected consequences. It's not long before she has to hide her growing love for Arin. But he, too, has a secret, and Kestrel quickly learns that the price she paid for a fellow human is much higher than she ever could have imagined. Set in a richly imagined new world, The Winner's Curse by Marie Rutkoski is a story of deadly games where everything is at stake, and the gamble is whether you will keep your head or lose your heart.",English,"Fantasy, Young Adult, Romance, Dystopia, Young Adult Fantasy, Fiction, High Fantasy, Historical Fiction, Historical, War",,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377023523l/16069030.jpg,ebook,,355,Farrar Straus Giroux,2014,2014,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),3.97,95030,0374384681,9780374384685
62,1217100,Thirteen Reasons Why,,,Jay Asher,"Asher, Jay","You can�t stop the future. You can�t rewind the past. The only way to learn the secret . . . is to press play. Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker�his classmate and crush�who committed suicide two weeks earlier. Hannah�s voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he�ll find out why. Clay spends the night crisscrossing his town with Hannah as his guide. He becomes a firsthand witness to Hannah�s pain, and as he follows Hannah�s recorded words throughout his town, what he discovers changes his life forever.",English,"Young Adult, Contemporary, Fiction, Realistic Fiction, Teen, High School, Drama, Mental Health, Death, Young Adult Contemporary","Clay Jensen,�Hannah Baker,�Bryce Walker,�Jessica Davis,�Justin Foley",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333822506l/1217100.jpg,Hardcover,,352,Razorbill,2007,2007,"Georgia Peach Book Award Nominee for Honor book (2009), California Book Award for Young Adult (Silver) (2007), South Carolina Book Award for Young Adult Book (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2010), Lincoln Award (2013), Missouri Gateway Readers Award (2010), Oklahoma Sequoyah Award for High School (2010), Premi Protagonista Jove for Categoria 13-14 anys (2011)",3.89,,1595141715,9781595141712
63,11614718,Delirium,Delirium ,#1,Lauren Oliver,"Oliver, Lauren","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.But with ninety-five days left until her treatment, Lena meets enigmatic Alex, a boy from the ""Wilds"" who lives under the government's radar. What will happen if they do the unthinkable and fall in love?",English,"Young Adult, Dystopia, Romance, Science Fiction, Fantasy, Fiction, Teen, Audiobook, Love, Post Apocalyptic","Hana Tate, Magdalena ""Lena"" Ella Haloway-Tiddle, Alex Sheathes, Carol Tiddle, Grace Tiddle","Portland, Maine (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890411l/11614718.jpg,Paperback,,441,HarperCollins,2012,2011,"Buxtehuder Bulle (2011), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2013)"", Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011), Missouri Gateway Readers Award Nominee (2014)",3.97,416677,0061726834,9780061726835
64,10507293,The Selection,The Selection ,#1,Kiera Cass,"Cass, Kiera","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks.Then America meets Prince Maxon. Gradually, she starts to question all the plans she's made for herself—and realizes that the life she's always dreamed of may not compare to a future she never imagined.",English,"Young Adult, Romance, Dystopia, Fantasy, Fiction, Science Fiction, Audiobook, Teen, Chick Lit, Young Adult Fantasy","Aspen Leger, America Singer, Prince Maxon",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293.jpg,Hardcover,,336,HarperTeen,2012,2012,"Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",4.13,892728,0062059939,9780062059932
65,10429045,Shatter Me,Shatter Me ,#1,Tahereh Mafi,"Mafi, Tahereh","I have a curseI have a giftI am a monsterI'm more than humanMy touch is lethalMy touch is powerI am their weaponI will fight backJuliette hasn't touched anyone in exactly 264 days.The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette's touch is fatal. As long as she doesn't hurt anyone else, no one really cares. The world is too busy crumbling to pieces to pay attention to a 17-year-old girl. Diseases are destroying the population, food is hard to find, birds don't fly anymore, and the clouds are the wrong color.The Reestablishment said their way was the only way to fix things, so they threw Juliette in a cell. Now so many people are dead that the survivors are whispering war – and The Reestablishment has changed its mind. Maybe Juliette is more than a tortured soul stuffed into a poisonous body. Maybe she's exactly what they need right now.Juliette has to make a choice: Be a weapon. Or be a warrior.",English,"Young Adult, Dystopia, Fantasy, Romance, Science Fiction, Paranormal, Fiction, Supernatural, Post Apocalyptic, Audiobook","Adam Kent, Juliette Ferrars, Aaron Warner Anderson, Kenji Kishimoto, Castle",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047l/10429045.jpg,Hardcover,,338,Harper,2011,2011,"""Arab American Book Award Nominee for Childrens/Young Adult (2013)""",3.95,290772,0062085484,9780062085481
66,4268157,Perfect Chemistry,Perfect Chemistry ,#1,Simone Elkeles,"Elkeles, Simone","A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created 'perfect' life is about to unravel before her eyes. She's forced to be lab partners with Alex Fuentes, a gang member from the other side of town, and he is about to threaten everything she's worked so hard for: her flawless reputation, her relationship with her boyfriend, and the secret that her home life is anything but perfect. Alex is a bad boy and he knows it. So when he makes a bet with his friends to lure Brittany into his life, he thinks nothing of it. But soon Alex realizes Brittany is a real person with real problems, and suddenly the bet he made in arrogance turns into something much more.In a passionate story about looking beneath the surface, Simone Elkeles breaks through the stereotypes and barriers that threaten to keep Brittany and Alex apart.",English,"Romance, Young Adult, Contemporary, Contemporary Romance, High School, Fiction, New Adult, Realistic Fiction, Chick Lit, Young Adult Romance","Alex Fuentes, Brittany Ellis","Chicago, Illinois (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439792475l/4268157.jpg,Hardcover,,368,Walker Childrens,2008,2008,"RITA Award by Romance Writers of America for Best Young Adult Romance (2010), ""Pennsylvania Young Readers Choice Award for Young Adults (2011)"", Lincoln Award Nominee (2011), Perfect Chemistry (2012)",4.06,239522,0802798233,9780802798237
67,11408650,The Unbecoming of Mara Dyer,Mara Dyer ,#1,Michelle Hodkin,"Hodkin, Michelle","Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there.

It can.

She believes there must be more to the accident she can't remember that killed her friends and left her strangely unharmed.

There is.

She doesn't believe that after everything she's been through, she can fall in love.

She's wrong.",English,"Young Adult, Paranormal, Fantasy, Romance, Mystery, Fiction, Supernatural, Horror, Contemporary, Paranormal Romance","Mara Dyer, Noah Shaw","Miami, Florida (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336655755l/11408650.jpg,Kindle Edition,,456,Simon & Schuster Books for Young Readers,2011,2011,,4.05,152703,,
68,15863832,Angelfall,Penryn & the End of Days ,#1,Susan Ee,"Ee, Susan","It's been six weeks since angels of the apocalypse descended to demolish the modern world. Street gangs rule the day while fear and superstition rule the night. When warrior angels fly away with a helpless little girl, her seventeen-year-old sister Penryn will do anything to get her back.Anything, including making a deal with an enemy angel.Raffe is a warrior who lies broken and wingless on the street. After eons of fighting his own battles, he finds himself being rescued from a desperate situation by a half-starved teenage girl.Traveling through a dark and twisted Northern California, they have only each other to rely on for survival. Together, they journey toward the angels' stronghold in San Francisco where she'll risk everything to rescue her sister and he'll put himself at the mercy of his greatest enemies for the chance to be made whole again.",English,"Fantasy, Young Adult, Angels, Paranormal, Dystopia, Romance, Urban Fantasy, Post Apocalyptic, Fiction, Supernatural","Penryn Young, Raffe, Obadiah West, Dee-Dum, Paige Young, Belial","San Francisco, California (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464206558l/15863832.jpg,Kindle Edition,,288,Skyscape,2012,2011,CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),4.13,164638,,
69,16101128,The 5th Wave,The 5th Wave ,#1,Rick Yancey,"Yancey, Rick","After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up.",English,"Young Adult, Science Fiction, Dystopia, Fiction, Aliens, Fantasy, Post Apocalyptic, Romance, Audiobook, Apocalyptic","Evan Walker, Cassie Sullivan, Sammy Sullivan, Ben Parish, Colonel Alexander",Ohio (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359853842l/16101128.jpg,Hardcover,,457,G.P. Putnam's Sons Books for Young Readers,2013,2013,"Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award for Young Adult (2016), Keystone to Reading Book Award Nominee for High School (2015), Evergreen Teen Book Award (2016), Milwaukee County Teen Book Award Nominee (2014), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013), Carnegie Medal Nominee (2014), Green Mountain Book Award Nominee (2015), ""Louisiana Teen Readers Choice (2016)"", Missouri Gateway Readers Award (2016), Oklahoma Sequoyah Award for High School (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)",4.04,388363,0399162410,9780399162411
70,119324,The Subtle Knife,His Dark Materials ,#2,Philip Pullman,"Pullman, Philip","The second instalment in Philip Pullman's His Dark Materials trilogy, join Lyra as her terrifying journey continues.-----She had asked: What is he? A friend or an enemy?The alethiometer answered: He is a murderer.When she saw the answer, she relaxed at once.Lyra finds herself in a shimmering, haunted otherworld – Cittàgazze, where soul-eating Spectres stalk the streets and wingbeats of distant angels sound against the sky.But she is not without allies: twelve-year-old Will Parry, fleeing for his life after taking another's, has also stumbled into this strange new realm.On a perilous journey from world to world, Lyra and Will uncover a deadly secret: an object of extraordinary and devastating power.And with every step, they move closer to an even greater threat – and the shattering truth of their own destiny.",English,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Science Fiction, Science Fiction Fantasy, Audiobook, Steampunk, Magic","Lyra Belacqua, Will Parry, Mary Malone, Pantalaimon, Marisa Coulter, Lee Scoresby, Stanislaus Grumman, Serafina Pekkala, Hester",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535965085l/41637836._SY475_.jpg,Kindle Edition,,370,RHCP Digital,1997,1997,"""Audie Award for Childrens Titles Ages 8-12 (2001)"", North East Teenage Book Award Nominee (1999)",4.13,366084,0679879250,9780679879251
71,15717943,Hopeless,Hopeless ,#1,Colleen Hoover,"Hoover, Colleen","Sometimes discovering the truth can leave you more hopeless than believing the lies…That's what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own and an uncanny ability to invoke feelings in her she's never had before. He terrifies her and captivates her all in the span of just one encounter, and something about the way he makes her feel sparks buried memories from a past that she wishes could just stay buried.Sky struggles to keep him at a distance knowing he's nothing but trouble, but Holder insists on learning everything about her. After finally caving to his unwavering pursuit, Sky soon finds that Holder isn't at all who he's been claiming to be. When the secrets he's been keeping are finally revealed, every single facet of Sky's life will change forever.",English,"Romance, New Adult, Young Adult, Contemporary, Contemporary Romance, Fiction, Abuse, High School, Chick Lit, Drama","Six, Dean Holder, Sky Davis",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353489892l/15717943.jpg,ebook,,410,,2012,2012,,4.29,268053,1301949825,9781301949823
72,8709527,Bloodlines,Bloodlines ,#1,Richelle Mead,"Mead, Richelle","I wasn't free of my past, not yet.Sydney's blood is special. That's because she's an alchemist - one of a group of humans who dabble in magic and serve to bridge the worlds of humans and vampires. They protect vampire secrets - and human lives. But the last encounter Sydney had with vampires got her in deep trouble with the other alchemists. And now with her allegiances in question, her future is on the line.When Sydney is torn from her bed in the middle of the night, at first she thinks she's still being punished for her complicated alliance with dhampir Rose Hathaway. But what unfolds is far worse. Jill Dragomir - the sister of Moroi Queen Lissa Dragomir - is in mortal danger, and the Moroi must send her into hiding. To avoid a civil war, Sydney is called upon to act as Jill's guardian and protector, posing as her roommate in the unlikeliest of places: a human boarding school in Palm Springs, California. The last thing Sydney wants is to be accused of sympathizing with vampires. And now she has to live with one.The Moroi court believe Jill and Sydney will be safe at Amberwood Prep, but threats, distractions, and forbidden romance lurk both outside - and within - the school grounds. Now that they're in hiding, the drama is only just beginning.",English,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Urban Fantasy, Magic, Supernatural, Paranormal Romance, Fiction","Sydney Sage, Dimitri Belikov, Adrian Ivashkov, Jillian Mastrano, Abe Mazur, Edison ""Eddie"" Castile, Zoe Sage","Palm Springs, California (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297199431l/8709527.jpg,Hardcover,,421,Razorbill,2011,2011,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011),4.2,167342,1595143173,9781595143174
73,764347,Unwind,Unwind Dystology ,#1,Neal Shusterman,"Shusterman, Neal","Connor, Risa, and Lev are running for their lives.The Second Civil War was fought over reproductive rights. The chilling resolution: Life is inviolable from the moment of conception until age thirteen. Between the ages of thirteen and eighteen, however, parents can have their child ""unwound,"" whereby all of the child's organs are transplanted into different donors, so life doesn't technically end. Connor is too difficult for his parents to control. Risa, a ward of the state, is not enough to be kept alive. And Lev is a tithe, a child conceived and raised to be unwound. Together, they may have a chance to escape and to survive.",English,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Horror, Teen, Thriller, Adventure, Survival","Lev Calder, Connor Lassiter, Risa Ward","Akron, Ohio (United States), Ohio (United States), Scottsburg, Indiana (United States), Arizona (United States), Joplin, Missouri (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297677706l/764347.jpg,Hardcover,,337,Simon & Schuster Books for Young Readers,2007,2007,"Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010), California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010)",4.17,191718,1416912045,9781416912040
74,2800905,The Summoning,Darkest Powers ,#1,Kelley Armstrong,"Armstrong, Kelley","Chloe Saunders used to have a relatively normal life.But now she finds herself in the middle of some really strange situations because:~She suddenly starts seeing dead people.~She gets locked up in a group home for unstable teens.~The group home isn't what it seems. My name is Chloe Saunders and my life will never be the same again.All I wanted was to make friends, meet boys, and keep on being ordinary. I don't even know what that means anymore. It all started on the day that I saw my first ghost—and the ghost saw me.Now there are ghosts everywhere and they won't leave me alone. To top it all off, I somehow got myself locked up in Lyle House, a ""special home"" for troubled teens. Yet the home isn't what it seems. Don't tell anyone, but I think there might be more to my housemates than meets the eye. The question is, whose side are they on? It's up to me to figure out the dangerous secrets behind Lyle House... before its skeletons come back to haunt me.",English,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Supernatural, Magic, Romance, Ghosts, Werewolves, Fiction","Chloe Saunders, Derek Souza, ""Victoria Tori Enright"", ""Rachelle Rae Rogers"", Simon Bae","Buffalo, New York (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478986944l/2800905._SY475_.jpg,Hardcover,First Edition,390,HarperCollins,2008,2008,Sunburst Award Nominee for Young Adult Work (2009),4.02,154537,0061662690,9780061662690
75,15749186,To All the Boys I've Loved Before,To All the Boys I've Loved Before ,#1,Jenny Han,"Han, Jenny","To All the Boys I've Loved Before is the story of Lara Jean, who has never openly admitted her crushes, but instead wrote each boy a letter about how she felt, sealed it, and hid it in a box under her bed. But one day Lara Jean discovers that somehow her secret box of letters has been mailed, causing all her crushes from her past to confront her about the letters: her first kiss, the boy from summer camp, even her sister's ex-boyfriend, Josh. As she learns to deal with her past loves face to face, Lara Jean discovers that something good may come out of these letters after all.",English,"Young Adult, Romance, Contemporary, Fiction, Audiobook, Chick Lit, Realistic Fiction, Young Adult Contemporary, High School, Young Adult Romance","Josh, Kitty, Margot, Lara Jean, Peter Kavinsky","Charlottesville, Virginia (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372086100l/15749186.jpg,Hardcover,,355,Simon & Schuster Books for Young Readers,2014,2014,"""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2016)"", Lincoln Award Nominee (2018), Goodreads Choice Award Nominee for Young Adult Fiction (2014)",4.15,490426,,
76,693208,The Absolutely True Diary of a Part-Time Indian,,,"Sherman Alexie, Ellen Forney (Illustrator)","Alexie, Sherman","Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot.Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live.With a foreward by Markus Zusak & interviews with Sherman Alexie and Ellen Forney ",English,"Young Adult, Fiction, Contemporary, Realistic Fiction, Humor, Coming Of Age, Teen, School, Audiobook, Cultural","Arnold ""Junior"" Spirit, Coach, Rowdy, Mary ""Runs Away"" Spirit, Mr. P, Agnes Adams / Spirit, Melinda, Mr. Grant, Penelope (divers), Micah, Roger ""The Giant"", Grandma Spirit, Eugene, Dawn, Mr. Dodge, Gordy, Dad Spirit, ""Rowdys Dad"", Mr. Sheridan, Earl, Gerald, Ted, Bobby","United States of America, Washington (state) (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327908992l/693208.jpg,Hardcover,,230,"Little, Brown Books for Young Readers",2007,2007,"""National Book Award for Young Peoples Literature (2007)"", Odyssey Award (2009), American Indian Library Association Award, South Carolina Book Award Nominee for Young Adult Book Award (2010), Rhode Island Teen Book Award Nominee (2009), Michigan Library Association Thumbs Up! Award Nominee (2008), Florida Teens Read Nominee (2009), American Indian Youth Literature Award for Best Young Adult Book (Award Retroactively Rescinded in 2018) (2008), Boston Globe-Horn Book Award for Fiction (2008), The Inky Awards Nominee for Silver Inky (2009), California Young Readers Medal for Young Adult (2010), Lincoln Award Nominee (2011), James Cook Book Award Nominee (2009), The Inky Awards Shortlist for Silver Inky (2009)",4.1,224351,0316013684,9780316013680
77,13262783,Every Day,Every Day ,#1,David Levithan,"Levithan, David","Every day a different body. Every day a different life. Every day in love with the same girl.There's never any warning about where it will be or who it will be. A has made peace with that, even established guidelines by which to live: Never get too attached. Avoid being noticed. Do not interfere.It's all fine until the morning that A wakes up in the body of Justin and meets Justin's girlfriend, Rhiannon. From that moment, the rules by which A has been living no longer apply. Because finally A has found someone A wants to be with—day in, day out, day after day.",English,"Young Adult, Romance, Fantasy, Contemporary, Fiction, LGBT, Paranormal, Magical Realism, Teen, Science Fiction","A, Nathan Daldry, Justin (Every Day), Anderson Poole, Rhiannon (Every Day)",Maryland (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356993940l/13262783.jpg,Hardcover,,322,Knopf Books for Young Readers,2012,2012,"Locus Award Nominee for Best Young Adult Book (2013), ""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2014)"", Rhode Island Teen Book Award Nominee (2014), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2015), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2014), Andre Norton Award Nominee (2012), NAIBA Book of the Year for Young Adult (2013), CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2012), Green Mountain Book Award Nominee (2015), Missouri Gateway Readers Award Nominee (2015), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)",3.94,195742,0307931889,9780307931887
